Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2024","Polity","Constitutional Amendments","Hard","Which of the following statements regarding the 101st Constitutional Amendment Act is/are correct?
1. It introduced the Goods and Services Tax (GST) in India.
2. It amended Article 279A to provide for a GST Council.
3. It mandated the sharing of GST revenue between the Union and the States.","Only 1 and 2","Only 2 and 3","Only 1 and 3","1, 2 and 3",0,"Only 1 and 2","The 101st Constitutional Amendment Act, 2016, introduced the Goods and Services Tax (GST) in India and amended Article 279A to provide for a GST Council. While it enabled the sharing of GST revenue, it didn't mandate it directly; the specific modalities are determined by the GST Council's recommendations and subsequent legislation."
"2024","Polity","Directive Principles","Hard","Which part of the Indian Constitution deals with the Directive Principles of State Policy?","Part II","Part III","Part IV","Part V",2,"Part IV","Part IV of the Indian Constitution (Articles 36-51) deals with the Directive Principles of State Policy (DPSP)."
"2024","Polity","Historical Background (Regulating Act 1773 to Independence Act 1947)","Hard","Which of the following committees recommended the abolition of dyarchy at the provincial level?","Muddiman Committee","Simon Commission","Butler Committee","Cripps Mission",1,"Simon Commission","The Simon Commission recommended the abolition of dyarchy at the provincial level."
"2024","Polity","Making of the Constitution & Salient Features","Hard","Which of the following statements is/are correct regarding the Drafting Committee of the Constituent Assembly?
1. It was chaired by Dr. B.R. Ambedkar.
2. It included representatives from all major communities in India.
3. It was responsible for preparing the first draft of the Constitution.
Select the correct answer using the codes given below:","1 only","2 only","1 and 3 only","1, 2 and 3",2,"1 and 3 only","Ambedkar chaired the committee, and it prepared the draft; it aimed for broad representation."
"2024","Polity","Preamble: Keywords and Significance","Hard","Consider the following statements regarding the Preamble of the Indian Constitution:
1. It is enforceable in a court of law.
2. It indicates the source from which the constitution derives its authority.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",1,"2 only","The Preamble is not enforceable but indicates the source of the Constitution's authority."
"2024","Polity","Union & Territory (Articles 1-4) & Citizenship (Articles 5-11)","Hard","Consider the following statements:
1. Article 2 of the Constitution deals with the establishment of new states.
2. Article 3 of the Constitution deals with the admission of new states.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",3,"Neither 1 nor 2","Article 2 deals with admission, and Article 3 deals with formation of new states."
"2024","Polity","Fundamental Rights (Articles 12-35) - Writs, Restrictions, Case Laws","Hard","Consider the following statements regarding Article 13: 1. It declares laws inconsistent with the Fundamental Rights as void. 2. It applies to both pre-constitutional and post-constitutional laws. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Both statements are correct regarding Article 13."
"2024","Polity","Directive Principles of State Policy (DPSP) & Fundamental Duties","Hard","Which of the following statements best describes the relationship between Fundamental Rights and Directive Principles of State Policy?","They are mutually exclusive and contradictory.","Directive Principles are subordinate to Fundamental Rights.","Fundamental Rights are subordinate to Directive Principles.","They are complementary and should be interpreted harmoniously.",3,"They are complementary and should be interpreted harmoniously.","Fundamental Rights and Directive Principles are complementary."
"2024","Polity","Amendment of the Constitution (Basic Structure Doctrine)","Hard","Consider the following statements regarding the application of the Basic Structure doctrine: 1. It applies only to amendments affecting Fundamental Rights. 2. It is used by the judiciary to assess the validity of constitutional amendments. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",1,"2 only","The doctrine applies to all amendments, not just those affecting Fundamental Rights."
"2024","Polity","Parliamentary System vs Presidential System","Hard","Consider the following statements regarding the powers of the President in a Presidential system:
1. The President can veto legislation passed by the legislature.
2. The President can dissolve the legislature at will.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","The President can veto legislation, but generally cannot dissolve the legislature."
