Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2024","Science","Biotechnology","Hard","What is CRISPR technology primarily used for?","Gene editing","Vaccine development","Stem cell research","Cancer treatment",0,"Gene editing","CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology is primarily used for gene editing, allowing scientists to precisely modify DNA sequences."
"2024","Science","Physics","Hard","What is the SI unit of electric current?","Volt","Ohm","Ampere","Watt",2,"Ampere","The SI unit of electric current is Ampere (A). Volt is the unit of electric potential, Ohm is the unit of resistance, and Watt is the unit of power."
"2024","Science","Biotechnology","Hard","With reference to the CRISPR-Cas9 gene-editing technology, consider the following statements:
1. It is a naturally occurring defence mechanism in bacteria.
2. It can be used to introduce specific changes into the DNA of an organism.
3. The technology is exclusively used for therapeutic purposes in humans and is banned for agricultural applications.
Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",0,"1 and 2 only","CRISPR-Cas9 is a bacterial immune system adapted for gene editing and is widely used in both medicine and agriculture; statement 3 is incorrect."
"2024","Science","Space Technology","Hard","Consider the following statements regarding the James Webb Space Telescope (JWST):
1. It is primarily designed to observe the universe in the infrared spectrum.
2. It is positioned at the Lagrange point L2, which keeps it in a stable orbit relative to the Earth and the Sun.
3. It is a joint project of NASA, the European Space Agency (ESA), and the Russian Space Agency (Roscosmos).
Which of the statements given above is/are correct?","1 only","1 and 2 only","2 and 3 only","1, 2 and 3",1,"1 and 2 only","JWST observes in infrared and is at L2, but it is a collaboration between NASA, ESA, and the Canadian Space Agency (CSA), not Roscosmos."
"2023","Science","Biotechnology","Hard","What is the purpose of 'Vidya Deepam Project'?","To provide food security to tribal people","To provide educational support to backward communities","To provide electricity to rural areas","To promote self-employment among women",1,"To provide educational support to backward communities","Vidya Deepam Project aims to provide educational support to backward communities."
"2023","Science","Physics","Hard","Consider the following statements:
1. Ballistic missiles are jet-propelled at subsonic speeds throughout their flights.
2. Cruise missiles are rocket-propelled only in the initial phase of their flight.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",3,"Neither 1 nor 2","Both statements are incorrect. Ballistic missiles are rocket-propelled, and cruise missiles are jet-propelled throughout their flight after the initial phase."
"2023","Science","Material Science","Hard","Consider the following statements:
1. Carbon fibres are used in the manufacture of components used in automobiles and aircraft.
2. Carbon fibres once used cannot be recycled.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","Carbon fibres are strong, lightweight materials used in aerospace and automotive industries, and while recycling is complex, it is possible."
"2023","Science","Biotechnology","Hard","Consider the following statements:
Statement-I: Biofilters provide waste treatment by removing ammonia.
Statement-II: Biofilters use microorganisms to convert ammonia present in wastewater into nitrate.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I","Both Statement-I and Statement-II are correct but Statement-II is not the correct explanation for Statement-I","Statement-I is correct but Statement-II is incorrect","Statement-I is incorrect but Statement-II is correct",0,"Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I","Biofilters utilize nitrification, a microbial process where ammonia is oxidized to nitrite and then to nitrate, effectively treating ammonia-laden wastewater."
"2022","Science","Physics","Hard","Consider the following:
1. Carbon dioxide
2. Oxides of Nitrogen
3. Sulphur hexafluoride
Which of the above is/are the Greenhouse Gas/Gases?","1 and 2 only","3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","Carbon dioxide (CO2), oxides of nitrogen (e.g., N2O), and sulfur hexafluoride (SF6) are all well-known greenhouse gases that contribute to global warming. Therefore, all three are greenhouse gases."
"2022","Science","Biology","Hard","With reference to the role of B-cells and T-cells in the human body, which of the following statements is/are correct?
1. They protect the body from diseases caused by pathogens.
2. They alleviate the body’s pain and inflammation.
3. They act as immunosuppressants in the body.
4. They protect the body from the diseases caused by allergens.","1 only","2 and 4","1 and 3","3 and 4",0,"1 only","B-cells and T-cells are lymphocytes that are central to the adaptive immune system, protecting the body from pathogens."
