Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2024","History","Art and Culture","Hard","With reference to the Sattriya dance, which of the following statements is/are correct?
1. It is a classical dance form that originated in the monasteries (Sattras) of Assam.
2. It was introduced by the 15th-century Bhakti saint Sankaradeva.
3. The dance form is exclusively performed by male monks in a group.","1 only","2 and 3 only","1 and 2 only","1, 2 and 3",2,"1 and 2 only","While Sattriya originated in monasteries and was introduced by Sankaradeva, it is now performed by both male and female dancers, not exclusively by male monks."
"2023","History","Art and Culture","Hard","With reference to the art and archaeological history of India, consider the following pairs:
1. Famous work of sculpture : Ratan Tata
2. Location : Ahobilam
3. Dynasty : Chalukya
How many pairs given above are correctly matched?","Only one","Only two","All three","None",3,"None","None of the pairs are correctly matched. The question is intentionally vague and nonsensical to test basic knowledge."
"2023","History","Art and Culture","Hard","With reference to ancient South India, Korkai, Poompuhar and Muchiri were well known as:","capital cities","ports","centres of iron-and-steel making","shrines of Jain Tirthankaras",1,"ports","Korkai, Poompuhar, and Muchiri were famous ancient port cities in South India, crucial for maritime trade during the Sangam period."
"2022","History","Art and Culture","Hard","The Prime Minister recently inaugurated the new Circuit House near Somnath Temple at Veraval. Which of the following statements are correct regarding Somnath Temple?
1. Somnath Temple is one of the Jyotirlinga shrines.
2. A description of Somnath Temple was given by Al-Biruni.
3. Pran Pratishtha of Somnath Temple (installation of the present-day temple) was done by President S. Radhakrishnan.","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",0,"1 and 2 only","The Pran Pratishtha of the present-day Somnath temple was done by the then President of India, Dr. Rajendra Prasad, not S. Radhakrishnan."
"2021","History","Art and Culture","Hard","Consider the following statements regarding the Chausath Yogini Temple, Mitawali:
1. It is a circular temple built during the reign of the Kachchhapaghata Dynasty.
2. It is the only circular temple built in India.
3. It was meant to promote the Vaishnava cult in the region.
4. Its design has given rise to a popular belief that it was the inspiration behind the Indian Parliament building.","1 and 2","2 and 3 only","1 and 4","2, 3 and 4",2,"1 and 4","The temple is not the only circular temple in India, and it is dedicated to Yoginis (Shaivism), not Vaishnavism."
"2020","History","Art and Culture","Hard","With reference to the cultural history of India, which one of the following is the correct description of the term ‘paramitas’?","The earliest Dharmashastra texts written in aphoristic (sutra) style","Philosophical schools that did not accept the authority of Vedas","Perfections whose attainment led to the Bodhisattva path","Powerful merchant guilds of early medieval South India",2,"Perfections whose attainment led to the Bodhisattva path","In Buddhism, 'Paramitas' are the perfections or virtues that must be cultivated to achieve enlightenment and follow the Bodhisattva path."
"2019","History","Art and Culture","Hard","Building ‘Kalyana Mandapas’ was a notable feature in the temple construction in the kingdom of","Chalukya","Chandela","Rashtrakuta","Vijayanagara",3,"Vijayanagara","Kalyana Mandapas, ornate halls used for ceremonial purposes like the symbolic marriage of the temple's deity, were a distinctive feature of Vijayanagara temple architecture."
"2018","History","Art and Culture","Hard","The well-known painting “Bani Thani” belongs to the","Bundi school","Jaipur school","Kangra school","Kishangarh school",3,"Kishangarh school","Bani Thani is an iconic miniature painting from the Kishangarh school of Rajasthani art, often compared to the Mona Lisa."
"2017","History","Art and Culture","Hard","The painting of Bodhisattva Padmapani is one of the most famous and oft-illustrated paintings at","Ajanta","Badami","Bagh","Ellora",0,"Ajanta","The famous mural painting of Bodhisattva Padmapani, holding a lotus, is located in Cave 1 of the Ajanta Caves in Maharashtra."
"2016","History","Art and Culture","Hard","What is/are common to the two historical places known as Ajanta and Mahabalipuram?
1. Both were built in the same period.
2. Both belong to the same religious denomination.
3. Both have rock-cut monuments.","1 and 2 only","3 only","1 and 3 only","None of the statements given above is correct",1,"3 only","Only the presence of rock-cut monuments is common, as they were built in different periods and represent different religious themes (primarily Buddhist at Ajanta, Hindu at Mahabalipuram)."
"2015","History","Art and Culture","Hard","Kalamkari painting refers to","a hand-painted cotton textile in South India","a handmade drawing on bamboo handicrafts in North-East India","a block-painted woollen cloth in Western Himalayan region of India","a hand-painted decorative silk cloth in North-Western India",0,"a hand-painted cotton textile in South India","Kalamkari is a traditional Indian art of hand-painting or block-printing on cotton textiles, originating in the state of Andhra Pradesh in South India."
