Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2024","Environment","Biodiversity","Hard","Which of the following is/are examples of in-situ conservation?
1. National Parks
2. Botanical Gardens
3. Wildlife Sanctuaries","Only 1","Only 2","Only 1 and 3","1, 2 and 3",2,"Only 1 and 3","In-situ conservation involves conserving species within their natural habitats. National Parks and Wildlife Sanctuaries are examples of this. Botanical Gardens are ex-situ conservation, as they involve conserving species outside their natural habitats."
"2024","Environment","Environmental Pollution","Hard","Which of the following is a major source of microplastics in the environment?","Industrial waste","Agricultural runoff","Vehicle emissions","Washing synthetic clothes",3,"Washing synthetic clothes","Washing synthetic clothes releases microplastics into wastewater, which eventually enters the environment. This is a significant source of microplastic pollution."
"2024","Environment","General","Hard","Consider the following statements:
1. The Global Ocean Commission grants licences for seabed exploration and mining in international waters.
2. India has received licences for seabed mineral exploration in international waters.
3. 'Rare earth minerals' are present on the seafloor in international waters.
Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",1,"2 and 3 only","The International Seabed Authority (ISA) grants licenses, not the Global Ocean Commission; India has received such licenses, and rare earth minerals are found on the seafloor."
"2023","Environment","Biodiversity","Hard","Consider the following:
1. Birds
2. Dust blowing
3. Rain
4. Wind blowing
Which of the above spread plant seeds?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 4",3,"1, 2 and 4","Birds, dust blowing, and wind blowing can all spread plant seeds. Rain helps in germination but doesn't directly spread seeds."
"2023","Environment","Pollution","Hard","Which of the following organisms perform the function of decomposers?
1. Virus
2. Fungi
3. Bacteria
Select the correct answer using the code given below:","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",1,"2 and 3 only","Fungi and bacteria are decomposers. Viruses are not decomposers; they are parasites."
"2023","Environment","General","Hard","Consider the following statements:
1. Some mushrooms have medicinal properties.
2. Some mushrooms have psychoactive properties.
3. Some mushrooms have insecticidal properties.
4. Some mushrooms have bioluminescent properties.
How many of the above statements are correct?","Only one","Only two","Only three","All four",3,"All four","Mushrooms exhibit a wide range of properties including medicinal, psychoactive, insecticidal, and bioluminescent characteristics."
"2023","Environment","General","Hard","Consider the following statements regarding the Indian squirrels:
1. They build nests by making burrows in the ground.
2. They store their food materials like nuts and seeds in the ground.
3. They are omnivorous.
How many of the above statements are correct?","Only one","Only two","Only three","None",1,"Only two","Indian squirrels typically build nests in trees (not burrows), but they do store food in the ground and are omnivorous."
"2023","Environment","General","Hard","Consider the following activities:
1. Spreading finely ground basalt rock on farmlands extensively
2. Increasing the alkalinity of oceans by adding lime
3. Capturing carbon dioxide released by various industries and pumping it into abandoned subterranean mines in the form of carbonated waters
How many of the above activities are often considered and discussed for carbon capture and sequestration?","Only one","Only two","All three","None",2,"All three","All three methods—enhanced weathering with basalt, ocean alkalinization, and direct carbon injection—are discussed as potential carbon capture and sequestration techniques."
"2022","Environment","Ecology","Hard","Which of the following best describes the term 'ecosystem'?","A community of organisms together with the environment in which they live","The flora and fauna of a geographical area","A group of organisms of the same species","The interaction between organisms and their physical environment",0,"A community of organisms together with the environment in which they live","An ecosystem is a community of living organisms (plants, animals, and microbes) in conjunction with the nonliving components of their environment (things like air, water, and mineral soil), interacting as a system."
"2022","Environment","Pollution","Hard","Which of the following is/are the cause/causes of chemical contamination of water?
1. Excessive use of nitrogenous fertilizers
2. Use of detergents
3. Use of pesticides
Select the correct answer using the code given below:","1 only","2 and 3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","Statement 1 is correct. Excessive use of nitrogenous fertilizers can lead to nitrate contamination of water. Statement 2 is correct. Detergents contain phosphates and other chemicals that can pollute water. Statement 3 is correct. Pesticides are designed to be toxic and can contaminate water sources. Therefore, all three are causes of chemical contamination."
