Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2024","Economy","Inflation","Hard","Which of the following measures can be used to control inflation in an economy?
1. Increasing the repo rate.
2. Reducing government spending.
3. Increasing taxes.","Only 1 and 2","Only 2 and 3","Only 1 and 3","1, 2 and 3",3,"1, 2 and 3","Increasing the repo rate makes borrowing more expensive, reducing the money supply. Reducing government spending decreases aggregate demand. Increasing taxes reduces disposable income, also decreasing aggregate demand. All these measures help control inflation."
"2024","Economy","Fiscal Policy","Hard","What is the primary objective of fiscal policy in a developing economy?","Price stability","Economic growth and development","Exchange rate stability","Controlling money supply",1,"Economic growth and development","The primary objective of fiscal policy in a developing economy is to promote economic growth and development through government spending, taxation, and borrowing."
"2024","Economy","Banking","Hard","What is the purpose of the Marginal Standing Facility (MSF) rate?","To control inflation","To provide overnight liquidity to banks","To regulate foreign exchange rates","To promote financial inclusion",1,"To provide overnight liquidity to banks","The Marginal Standing Facility (MSF) rate is the rate at which banks can borrow funds overnight from the Reserve Bank of India (RBI) against their government securities portfolio. It provides a safety valve against unexpected liquidity shocks."
"2024","Economy","Government Budgeting","Hard","Consider the following statements regarding the 'Sovereign Green Bonds' (SGrBs) issued by the Government of India:
1. The proceeds from SGrBs are deployed in public sector projects which help in reducing the carbon intensity of the economy.
2. SGrBs are eligible for Statutory Liquidity Ratio (SLR) purposes.
3. SGrBs are eligible for trading in the secondary market.
How many of the above statements are correct?","Only one","Only two","All three","None",2,"All three","Sovereign Green Bonds fund public sector green projects, are eligible for SLR, and are tradable on the secondary market, making all statements correct."
"2024","Economy","Banking","Hard","Consider the following statements regarding the 'Core Banking Solution' (CBS):
1. It is a network of a bank's branches which enables customers to operate their accounts from any branch of the bank on its network.
2. It is a system developed and maintained by the National Payments Corporation of India (NPCI).
3. It allows customers to access their funds and services from anywhere in the world.
How many of the above statements are correct?","Only one","Only two","All three","None",1,"Only two","CBS is a bank's centralized system allowing account access from any branch, but it is not developed by NPCI; global access depends on the bank's network."
"2023","Economy","Inflation","Hard","Consider the following statements:
1. High inflation encourages nominal debt repayment.
2. High inflation decreases the purchasing power of currency.
3. High inflation encourages savings.
Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",0,"1 and 2 only","Statements 1 and 2 are correct. High inflation does encourage nominal debt repayment and decreases purchasing power. High inflation discourages savings as the real value of savings erodes."
"2023","Economy","Fiscal Policy","Hard","Which of the following activities constitute real sector in an economy?
1. Farmers harvesting their crops
2. Textile mills converting raw cotton into fabrics
3. A commercial bank lending money to a trading company
Which of the above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",0,"1 and 2 only","The real sector involves the production of goods and services. Farming and textile mills are part of the real sector. Lending money is part of the financial sector."
"2023","Economy","Agriculture","Hard","Consider the following statements:
1. The Government of India provides Minimum Support Price for millets.
2. Millets are photo-period sensitive.
3. Some millets are grown as fodder crops.
Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",2,"1 and 3 only","Statement 1 is correct. The government provides MSP for millets. Statement 2 is incorrect. Millets are generally photo-insensitive. Statement 3 is correct. Some millets are grown as fodder crops."
"2023","Economy","Agriculture","Hard","Consider the following statements in respect of the 'Small Farmers Large Field' (SFLF) concept:
1. SFLF is a concept of value-led farming where small and marginal farmers in an area pool their land holdings for joint cultivation.
2. The ownership of the land remains with the individual farmers.
3. SFLF aims to improve economies of scale and bargaining power for inputs and outputs.
How many of the above statements are correct?","Only one","Only two","All three","None",2,"All three","The SFLF concept involves farmers pooling land for joint cultivation to gain economies of scale while retaining individual land ownership."
"2023","Economy","Financial Markets","Hard","What is 'beta' referred to in the financial world?","The process of simultaneous buying and selling of an asset from different platforms","An investment strategy of a portfolio manager to balance risk versus reward","A type of systemic risk that arises where a particular industry or sector fails","A numeric value that measures the fluctuations of a stock to changes in the overall stock market",3,"A numeric value that measures the fluctuations of a stock to changes in the overall stock market","Beta is a measure of a stock's volatility, or systematic risk, in relation to the overall market."
"2022","Economy","Banking","Hard","With reference to scheduled commercial banks in India, consider the following statements:
1. They are regulated by the Reserve Bank of India.
2. They are included in the Second Schedule to the Reserve Bank of India Act, 1934.
3. State Bank of India is the only scheduled commercial bank.
Which of the statements given above is/are correct?","1 only","1 and 2 only","2 and 3 only","1, 2 and 3",1,"1 and 2 only","Statement 1 is correct. All scheduled commercial banks are regulated by the RBI. Statement 2 is correct. Inclusion in the Second Schedule of the RBI Act, 1934 is a defining characteristic. Statement 3 is incorrect. Many banks are scheduled commercial banks. Therefore, only 1 and 2 are correct."
"2022","Economy","Agriculture","Hard","Consider the following statements:
1. In India, the State Governments do not have any role in the determination of Mineral prices.
2. Mineral prices are determined by the Central Government as per the Mines and Minerals (Development and Regulation) Act, 1957.
3. The State Governments have the power to grant mining leases for minor minerals, but the Central Government has the power to grant mining leases for major minerals.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","3 only","1, 2 and 3",2,"3 only","Statement 1 is incorrect. State Governments do play a role, particularly in royalty rates for minor minerals. Statement 2 is incorrect. Mineral prices are influenced by market forces, though the government sets royalty rates. Statement 3 is correct. State governments grant leases for minor minerals, while the central government handles major minerals. Therefore, only statement 3 is correct."
"2022","Economy","Monetary Policy","Hard","With reference to the Indian economy, consider the following statements:
1. If the inflation is too high, Reserve Bank of India (RBI) is likely to buy government securities.
2. If the rupee is rapidly depreciating, RBI is likely to sell dollars in the market.
3. If interest rates in the USA or European Union were to fall, that is likely to induce RBI to buy dollars.
Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",1,"2 and 3 only","To curb high inflation, the RBI sells government securities to absorb liquidity, while it sells dollars to strengthen a depreciating rupee and buys dollars to prevent appreciation from capital inflows."
"2022","Economy","International Economy","Hard","With reference to 'G20 Common Framework', consider the following statements:
1. It is an initiative endorsed by the G20 together with the Paris Club.
2. It is an initiative to support Low Income Countries with unsustainable debt.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","The G20 Common Framework, endorsed with the Paris Club, is designed to provide a structured approach to debt relief for low-income countries facing unsustainable debt."
"2021","Economy","Banking","Hard","With reference to the Non-Fungible Tokens (NFTs), consider the following statements:
1. They enable the digital representation of physical assets.
2. They are interchangeable and therefore can be used as a medium of exchange.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","NFTs (Non-Fungible Tokens) are unique digital assets that represent ownership of items, including physical assets. They are not interchangeable (fungible) because each NFT is unique, making them unsuitable as a medium of exchange. Therefore, statement 1 is correct, and statement 2 is incorrect."
"2021","Economy","Inflation","Hard","Consider the following statements:
1. High inflation benefits the debtors.
2. High inflation benefits the bondholders.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","High inflation benefits debtors because they repay their loans with money that is worth less than when they borrowed it. High inflation hurts bondholders because the real value of their fixed-income investments decreases. Therefore, only statement 1 is correct."
"2021","Economy","Fiscal Policy","Hard","With reference to the Indian economy after the 1991 economic liberalization, consider the following statements:
1. Worker productivity (₹ per worker at 2004-05 prices) increased.
2. Percentage share of wage in total income earned increased.
3. Employment in the organized sector increased.
Which of the statements given above is/are correct?","1 only","1 and 2 only","2 and 3 only","1 and 3 only",0,"1 only","After the 1991 economic liberalization, worker productivity generally increased. However, the percentage share of wages in total income earned typically decreased, and employment in the organized sector did not necessarily increase significantly. Therefore, only statement 1 is correct."
"2021","Economy","Inflation","Hard","With reference to the Indian economy, demand-pull inflation can be caused/increased by which of the following?
1. Expansionary policies
2. Fiscal stimulus
3. Inflation-indexing wages
4. Higher purchasing power
5. Rising interest rates
Select the correct answer using the code given below.","1, 2 and 4 only","3, 4 and 5 only","1, 2, 3 and 5 only","1, 2, 3, 4 and 5",0,"1, 2 and 4 only","Demand-pull inflation occurs when aggregate demand outpaces aggregate supply, which is fueled by expansionary policies, fiscal stimulus, and higher purchasing power."
"2021","Economy","Banking","Hard","With reference to Urban Cooperative Banks in India, consider the following statements:
1. They are supervised and regulated by local boards set up by the State Governments.
2. They can issue equity shares and preference shares.
3. They were brought under the purview of the Banking Regulation Act, 1949 through an Amendment in 1966.
Which of the statements given above is/are correct?","1 only","2 and 3 only","1 and 3 only","1, 2 and 3",1,"2 and 3 only","Urban Cooperative Banks are under dual regulation by the RBI and Registrar of Cooperative Societies, can issue shares, and were brought under the Banking Regulation Act in 1966."
"2020","Economy","Inflation","Hard","With reference to the Indian economy, consider the following:
1. Inflation-Indexed Bonds
2. Interest rates on savings accounts
3. Interest rates on term deposits
4. National Savings Certificates
Which of the above is/are linked to Inflation?","1 only","1 and 4 only","2, 3 and 4 only","1, 2, 3 and 4",0,"1 only","Inflation-Indexed Bonds (IIBs) are designed to protect investors from inflation by linking the principal or interest payments to an inflation index. The other options are not directly linked to inflation."
"2020","Economy","Economic Development","Hard","In the context of India, which of the following is/are considered as instrument/instruments of public policy?
1. Government expenditure
2. Taxes
3. Government activities
Select the correct answer using the code given below:","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","Government expenditure, taxes, and government activities are all instruments of public policy. They are used to influence economic and social outcomes."
