Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2024","History","Ancient History","Hard","Consider the following statements regarding the Indus Valley Civilization:
1. The Great Bath was a ritual bathing site.
2. The script used by the Indus people has been deciphered.
3. The economy was primarily based on agriculture and trade.","Only 1 and 2","Only 2 and 3","Only 1 and 3","1, 2 and 3",2,"Only 1 and 3","The Great Bath at Mohenjo-daro is widely believed to have been used for ritual bathing. The Indus script remains undeciphered. The Indus economy was based on agriculture and trade, with evidence of extensive trade networks."
"2024","History","Medieval History","Hard","The term 'Tankha' during the Delhi Sultanate referred to:","Land revenue","A copper coin","Salary paid to officials","A type of tax",2,"Salary paid to officials","During the Delhi Sultanate, 'Tankha' referred to the salary paid to officials, often in the form of land assignments or revenue rights."
"2024","History","Modern History","Hard","The 'Poona Pact' of 1932 was an agreement between:","Gandhi and Jinnah","Gandhi and Ambedkar","Nehru and Patel","Ambedkar and Jinnah",1,"Gandhi and Ambedkar","The Poona Pact of 1932 was an agreement between Mahatma Gandhi and B.R. Ambedkar, concerning the reservation of electoral seats for the depressed classes in the legislature."
"2024","History","Indus Valley Civilization & Vedic Age","Hard","The term 'Rita' in the Vedic period refers to:","Moral order","Cosmic order","Sacrificial rituals","Social hierarchy",1,"Cosmic order","'Rita' in the Vedic period refers to the cosmic and moral order."
"2024","History","Gupta Period: Golden Age of Art & Science","Hard","With reference to the art and architectural developments during the Gupta period, which of the following is/are true? 1. The use of stone as the primary building material became widespread. 2. The concept of 'Nagara' style of temple architecture gained prominence. Select the correct answer using the code given below:","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Stone usage increased and Nagara style emerged during the Gupta period."
"2024","History","Bhakti & Sufi Movements","Hard","Consider the following statements regarding the influence of Sufi saints:
1. They often mediated between the rulers and the common people.
2. Their teachings were exclusively for Muslims.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","Sufi saints often acted as intermediaries, and their teachings were inclusive."
"2024","History","Mughal Administration, Art & Architecture","Hard","Consider the following statements regarding the Mughal administration:
1. The Subedar was the head of the province.
2. The Faujdar was responsible for maintaining law and order in the districts.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","Both Subedar and Faujdar had important administrative roles."
"2024","History","Vijayanagara Empire","Hard","Consider the following statements regarding the Vijayanagara army:
1. It consisted of infantry, cavalry, and elephants.
2. It had a strong naval force.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",2,"Both 1 and 2","The Vijayanagara army had infantry, cavalry, elephants, and a strong navy."
"2024","History","Advent of Europeans & British Expansion","Hard","Which of the following statements is/are correct regarding the Charter Act of 1853?
1. It introduced open competition for recruitment to the civil services.
2. It extended the Company's rule for an indefinite period.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",0,"1 only","The Charter Act of 1853 introduced open competition for civil services."
"2024","History","Social-Religious Reform Movements (19th Century)","Hard","Consider the following statements regarding the impact of the social reform movements in 19th century India:
1. They led to a complete eradication of caste-based discrimination.
2. They contributed to the rise of nationalism.
3. They had a limited impact on the lives of women.
Which of the statements given above is/are correct?","1 and 2 only","2 only","1 and 3 only","1, 2 and 3",1,"2 only","The movements did not eradicate caste discrimination, and they significantly improved women's lives."
"2024","History","Revolt of 1857 & Rise of Nationalism","Hard","Which of the following best describes the impact of the Revolt of 1857 on the British administration in India?","It led to the complete withdrawal of the British from India.","It resulted in the transfer of power from the East India Company to the British Crown.","It had no significant impact on the British administration.","It led to the immediate independence of India.",1,"It resulted in the transfer of power from the East India Company to the British Crown.","The revolt led to the transfer of power to the British Crown."
"2024","History","Gandhian Era: Non-Cooperation, Civil Disobedience, Quit India","Hard","Which of the following statements best describes the impact of the Civil Disobedience Movement on the Indian economy?","It led to a significant increase in industrial production.","It resulted in a widespread boycott of foreign goods, impacting British trade.","It had no noticeable impact on the Indian economy.","It primarily affected the agricultural sector.",1,"It resulted in a widespread boycott of foreign goods, impacting British trade.","The Civil Disobedience Movement significantly impacted British trade through boycotts."
"2024","History","General","Hard","In the Mauryan period, who was the officer responsible for the safe custody of the royal treasury and the storehouse?","Samahartri","Sannidhatri","Koshadhyaksha","Dandapala",1,"Sannidhatri","According to Kautilya's Arthashastra, the Sannidhatri was the Treasurer and Keeper of the Stores in the Mauryan administration."
"2023","History","Ancient History","Hard","With reference to ancient India, consider the following statements:
1. The concept of Stupa is Buddhist in origin.
2. Stupa was generally a repository of relics.
3. Stupa was a votive and commemorative structure in Buddhist tradition.
Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","All three statements are correct. Stupas are Buddhist in origin, served as relic repositories, and were both votive and commemorative structures."
"2023","History","Medieval History","Hard","With reference to the history of India, the term 'parivrajaka' refers to","Renunciant and Wanderer","Merchant","Priest","Physician",0,"Renunciant and Wanderer","Parivrajaka refers to a renunciant and wanderer in ancient and medieval India, often associated with ascetic traditions."
"2023","History","Indus Valley Civilization & Vedic Age","Hard","Which of the following crops were NOT known to the people of the Indus Valley Civilization?","Wheat","Barley","Rice","Sugarcane",3,"Sugarcane","Sugarcane was not cultivated during the Indus Valley Civilization."
"2023","History","Buddhism & Jainism: Philosophy & Architecture","Hard","Which of the following sites is renowned for its Jain temples and is located in Rajasthan?","Mount Abu","Khajuraho","Sanchi","Amaravati",0,"Mount Abu","Mount Abu is famous for its Dilwara Jain temples in Rajasthan."
