Year,Subject,Topic,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (0-3),Correct Answer Text,Explanation
"2024","Geography","Climate Change","Hard","Which of the following greenhouse gases has the highest global warming potential (GWP)?","Carbon Dioxide","Methane","Nitrous Oxide","Sulphur Hexafluoride",3,"Sulphur Hexafluoride","Sulphur Hexafluoride (SF6) has the highest global warming potential among the given options. While Carbon Dioxide is the most abundant greenhouse gas, SF6 traps significantly more heat per molecule."
"2024","Geography","Indian Geography","Hard","Which of the following rivers does NOT originate in the Himalayas?","Ganga","Yamuna","Brahmaputra","Narmada",3,"Narmada","The Narmada River originates in the Maikala range in Madhya Pradesh, which is not part of the Himalayan mountain range. The Ganga, Yamuna, and Brahmaputra all originate in the Himalayas."
"2024","Geography","General","Hard","Consider the following statements regarding the Saurashtra region of Gujarat:
1. It is a peninsular region with a significant coastline along the Arabian Sea.
2. The Gir National Park, the only natural habitat of the Asiatic lion, is located in this region.
3. It is predominantly an arid region with very low annual rainfall.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",0,"1 and 2 only","Saurashtra is a peninsula and home to Gir National Park, but while parts are semi-arid, it is not predominantly an arid region like the Rann of Kutch."
"2023","Geography","Climate","Hard","Which one of the following best describes the term 'Greenwashing'?","Conveying a false impression that a company's products are eco-friendly","Non-inclusion of ecological/environmental costs in the Annual Financial Statements","Ignoring the disastrous ecological consequences while undertaking infrastructure development","Making mandatory provisions for environmental protection",0,"Conveying a false impression that a company's products are eco-friendly","Greenwashing refers to conveying a false impression or providing misleading information about how a company's products are more environmentally sound than they actually are."
"2023","Geography","Geomorphology","Hard","Consider the following statements:
1. Jet streams occur in the Northern Hemisphere only.
2. Only some cyclones develop an eye.
3. The temperature inside the eye of a cyclone is nearly 10°C lower than that of the surrounding.
Which of the statements given above is/are correct?","1 only","2 only","1 and 3 only","2 and 3 only",1,"2 only","Statement 1 is incorrect as jet streams occur in both hemispheres. Statement 2 is correct. Statement 3 is incorrect; the temperature inside the eye is warmer, not colder."
"2023","Geography","General","Hard","Consider the following statements:
1. Jhelum River passes through Wular Lake.
2. Krishna River directly feeds Kolleru Lake.
3. Meandering of Gandak River formed Kanwar Lake.
How many of the statements given above are correct?","Only one","Only two","All three","None",1,"Only two","Jhelum River flows through Wular Lake and Gandak's meandering formed Kanwar Lake, but Kolleru Lake is fed by Budameru and Tammileru streams, not directly by Krishna River."
"2022","Geography","Climate","Hard","Jet streams are usually found in the:","Troposphere","Stratosphere","Ionosphere","Exosphere",0,"Troposphere","Jet streams are fast-flowing, narrow, meandering air currents in the atmosphere. They are found in the troposphere, at altitudes of about 7 to 12 kilometers."
"2022","Geography","Geomorphology","Hard","Consider the following statements:
1. The global distribution of coral reefs is largely confined to tropical waters.
2. Coral reefs are formed by living organisms.
3. Mangroves are found in the intertidal zones.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",3,"1, 2 and 3","Statement 1 is correct. Coral reefs thrive in warm, shallow, clear, and sunny waters, primarily in tropical regions. Statement 2 is correct. Coral reefs are built by colonies of tiny animals called coral polyps. Statement 3 is correct. Mangroves are salt-tolerant trees and shrubs that grow in the intertidal zones of tropical and subtropical coastlines. Therefore, all three statements are correct."
"2022","Geography","General","Hard","The term 'Levant' often heard in the news roughly corresponds to which of the following regions?","Region along the eastern Mediterranean shores","Region along North African shores stretching from Egypt to Morocco","Region along Persian Gulf and Horn of Africa","The entire coastal areas of Mediterranean Sea",0,"Region along the eastern Mediterranean shores","The Levant is a historical geographical term referring to a large area in the Eastern Mediterranean region of Western Asia."
"2021","Geography","Climate","Hard","Consider the following statements:
1. The global average temperature in January 2021 was significantly lower than that of January 2020.
2. The global average sea level in January 2021 was significantly higher than that of January 2020.
Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",1,"2 only","Based on available data, the global average sea level in January 2021 was higher than in January 2020 due to ongoing thermal expansion and melting of ice. The global average temperature in January 2021 was not significantly lower than that of January 2020; it was within the range of recent years."
